cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.8.17_conda	Cystobasidium_minutum_MCA_4210	GCF_039999085.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Cystobasidium_minutum_MCA_4210/predict_results/Cystobasidium_minutum_MCA_4210.gff3	7188	results/reference_annotations/.cache/GCF_039999085.1_Rhomi1_genomic.gff	7855	81.2	91.7	66.8	70.4	82.6	86.3	46.8	50.0	45.5	49.7	46.2	49.7	10.2	5.5	9.2	7.1	7.7	2.8	7188	7855	7004	6983	381	184	570	compared
v1.8.17_conda	Dactylellina_haptotyla_CBS_200.50	GCF_000441935.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Dactylellina_haptotyla_CBS_200.50/predict_results/Dactylellina_haptotyla_CBS_200.50.gff3	10837	results/reference_annotations/.cache/GCF_000441935.1_MHA_v2_genomic.gff	10959	93.0	98.8	81.5	83.4	84.5	87.0	67.3	65.9	68.0	68.8	68.0	68.8	7.5	3.7	7.5	5.4	6.0	2.3	10837	10959	10628	10591	57	209	623	compared
v1.8.17_conda	Drepanopeziza_brunnea_MB_m1	GCF_000298775.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Drepanopeziza_brunnea_MB_m1/predict_results/Drepanopeziza_brunnea_MB_m1.gff3	9432	results/reference_annotations/.cache/GCF_000298775.1_ASM29877v1_genomic.gff	10025	89.7	98.0	64.4	77.8	65.2	83.4	51.4	56.2	54.7	58.1	54.7	58.1	21.1	4.2	25.7	5.3	11.7	3.1	9432	10025	9233	9145	99	199	1119	compared
v1.8.17_conda	Eremothecium_gossypii_ATCC_10895	GCF_000091025.4	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Eremothecium_gossypii_ATCC_10895/predict_results/Eremothecium_gossypii_ATCC_10895.gff3	4557	results/reference_annotations/.cache/GCF_000091025.4_ASM9102v4_genomic.gff	5314	91.3	99.5	67.7	71.4	49.0	20.5	44.8	19.6	71.0	82.9	71.1	82.9	12.6	2.4	36.2	73.2	11.6	0.9	4557	5314	4532	4516	53	25	580	compared
v1.8.17_conda	Fusarium_oxysporum_4287	GCF_000149955.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Fusarium_oxysporum_4287/predict_results/Fusarium_oxysporum_4287.gff3	17319	results/reference_annotations/.cache/GCF_000149955.1_ASM14995v2_genomic.gff	21344	61.4	97.4	35.6	50.1	64.3	82.1	37.6	60.6	36.4	58.3	47.3	58.3	23.3	3.3	27.2	8.7	20.7	1.8	17319	21344	17061	16996	2584	258	4132	compared
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	GCF_000002515.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Kluyveromyces_lactis_NRRL_Y-1140/predict_results/Kluyveromyces_lactis_NRRL_Y-1140.gff3	4949	results/reference_annotations/.cache/GCF_000002515.2_ASM251v1_genomic.gff	5335	96.2	98.8	77.9	77.8	37.1	13.3	37.6	13.5	80.7	87.0	80.8	87.0	7.6	4.0	41.2	78.5	6.5	1.3	4949	5335	4884	4883	31	65	328	compared
v1.8.17_conda	Laccaria_bicolor_S238N-H82	GCF_000143565.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Laccaria_bicolor_S238N-H82/predict_results/Laccaria_bicolor_S238N-H82.gff3	15692	results/reference_annotations/.cache/GCF_000143565.1_V1.0_genomic.gff	18213	76.9	76.9	47.1	55.2	55.1	64.7	17.9	20.4	18.0	20.9	18.0	20.9	31.3	20.8	33.2	21.9	28.9	18.2	15692	18213	13137	12838	510	2555	5015	compared
v1.8.17_conda	Lachancea_thermotolerans_CBS_6340	GCF_000142805.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Lachancea_thermotolerans_CBS_6340/predict_results/Lachancea_thermotolerans_CBS_6340.gff3	4843	results/reference_annotations/.cache/GCF_000142805.1_ASM14280v1_genomic.gff	5384	94.1	98.7	71.9	73.1	49.9	21.6	47.3	21.2	75.8	84.2	75.8	84.2	9.1	3.9	33.4	71.1	8.1	1.5	4843	5384	4782	4772	44	61	400	compared
v1.8.17_conda	Leptographium_clavigerum_kw1407	GCF_000143105.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Leptographium_clavigerum_kw1407/predict_results/Leptographium_clavigerum_kw1407.gff3	7929	results/reference_annotations/.cache/GCF_000143105.1_Sanger-454-IlluminaPA_2.0_genomic.gff	8311	87.3	97.8	63.9	71.7	66.7	77.7	49.9	51.5	52.4	54.9	52.4	54.9	16.2	4.3	21.3	8.4	11.8	3.3	7929	8311	7693	7668	92	236	929	compared
v1.8.17_conda	Letharia_columbiana_WasteWater2	GCF_014066305.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Letharia_columbiana_WasteWater2/predict_results/Letharia_columbiana_WasteWater2.gff3	11544	results/reference_annotations/.cache/GCF_014066305.1_Lecol_v1.0_genomic.gff	13385	91.6	96.1	64.9	72.2	70.7	76.9	47.1	50.3	47.6	55.2	47.6	55.2	16.0	6.3	18.0	11.7	12.1	3.1	11544	13385	11282	11194	163	262	1487	compared
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	GCF_000349305.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Malassezia_sympodialis_ATCC_42132/predict_results/Malassezia_sympodialis_ATCC_42132.gff3	3271	results/reference_annotations/.cache/GCF_000349305.1_ASM34930v2_genomic.gff	3318	86.8	88.0	34.0	31.4	33.0	26.7	16.3	17.0	28.7	30.9	28.7	30.9	20.5	23.2	37.4	49.3	11.9	11.5	3271	3318	2810	2784	131	461	320	compared
v1.8.17_conda	Mixia_osmundae_IAM_14324	GCF_000708205.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Mixia_osmundae_IAM_14324/predict_results/Mixia_osmundae_IAM_14324.gff3	6335	results/reference_annotations/.cache/GCF_000708205.1_Mixia_osmundae_v1.0_genomic.gff	6838	84.2	97.6	56.0	66.4	68.1	82.8	35.9	38.0	35.0	37.8	36.3	37.8	17.0	2.2	21.5	5.9	11.8	1.1	6335	6838	6284	6268	1164	51	747	compared
v1.8.17_conda	Morchella_importuna_M04M26	GCF_003444635.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Morchella_importuna_M04M26/predict_results/Morchella_importuna_M04M26.gff3	11106	results/reference_annotations/.cache/GCF_003444635.1_ASM344463v2_genomic.gff	11642	88.5	92.1	57.6	70.0	60.3	77.6	38.7	41.1	41.4	43.4	41.4	43.4	23.8	9.1	28.2	10.5	14.4	10.7	11106	11642	9996	9929	130	1110	1584	compared
v1.8.17_conda	Mucor_mucedo_NRRL_3635	GCF_025094135.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Mucor_mucedo_NRRL_3635/predict_results/Mucor_mucedo_NRRL_3635.gff3	14344	results/reference_annotations/.cache/GCF_025094135.1_Mucmuc1_genomic.gff	14225	81.2	83.8	58.3	53.7	74.7	67.2	39.0	37.5	38.5	38.1	39.5	38.1	14.3	18.9	15.5	23.5	12.1	15.3	14344	14225	12259	12150	740	2085	1540	compared
v1.8.17_conda	Nakaseomyces_glabratus_CBS_138	GCF_000002545.3	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Nakaseomyces_glabratus_CBS_138/predict_results/Nakaseomyces_glabratus_CBS_138.gff3	5137	results/reference_annotations/.cache/GCF_000002545.3_ASM254v2_genomic.gff	5458	96.3	98.8	78.2	75.2	26.4	6.5	25.1	6.7	80.6	85.7	80.7	85.7	6.3	4.8	54.5	88.4	5.2	1.1	5137	5458	5094	5079	27	43	267	compared
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	GCF_000225545.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Orbilia_oligospora_ATCC_24927/predict_results/Orbilia_oligospora_ATCC_24927.gff3	11191	results/reference_annotations/.cache/GCF_000225545.1_AOL24927_1.0_genomic.gff	11479	95.6	98.4	84.7	84.4	88.0	86.4	71.7	68.9	70.3	72.1	70.3	72.1	5.2	4.3	4.6	6.9	4.6	2.6	11191	11479	10939	10903	44	252	509	compared
v1.8.17_conda	Parastagonospora_nodorum_SN15	GCF_000146915.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Parastagonospora_nodorum_SN15/predict_results/Parastagonospora_nodorum_SN15.gff3	12293	results/reference_annotations/.cache/GCF_000146915.1_ASM14691v2_genomic.gff	16087	83.9	92.7	39.4	49.0	46.1	55.4	25.0	33.4	29.5	38.7	29.5	38.7	26.4	10.2	34.3	18.9	24.8	0.4	12293	16087	12243	12225	256	50	3836	compared
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	GCF_001638985.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Phycomyces_blakesleeanus_NRRL_1555_-/predict_results/Phycomyces_blakesleeanus_NRRL_1555_-.gff3	14230	results/reference_annotations/.cache/GCF_001638985.1_Phybl2_genomic.gff	16850	74.9	79.5	54.2	59.6	63.6	68.5	29.4	35.2	31.7	37.5	31.8	37.5	25.5	17.7	25.8	19.1	23.4	8.5	14230	16850	13364	13037	537	866	3662	compared
v1.8.17_conda	Pneumocystis_murina_B123	GCF_000349005.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Pneumocystis_murina_B123/predict_results/Pneumocystis_murina_B123.gff3	3212	results/reference_annotations/.cache/GCF_000349005.2_Pneumo_murina_B123_V4_genomic.gff	3675	87.8	98.6	71.5	69.3	81.6	76.7	31.1	35.0	32.2	36.8	32.3	36.8	9.1	5.8	8.6	14.1	8.6	0.6	3212	3675	3205	3195	239	7	255	compared
v1.8.17_conda	Protomyces_lactucae-debilis_12-1054	GCF_002105105.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Protomyces_lactucae-debilis_12-1054/predict_results/Protomyces_lactucae-debilis_12-1054.gff3	5587	results/reference_annotations/.cache/GCF_002105105.1_Prola1_genomic.gff	6767	79.9	90.8	34.0	38.9	54.2	57.0	40.8	41.7	40.2	48.7	42.1	48.7	18.8	7.6	32.8	31.1	14.8	4.0	5587	6767	5431	5361	877	156	856	compared
v1.8.17_conda	Pyrenophora_teres_0-1	GCF_000166005.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Pyrenophora_teres_0-1/predict_results/Pyrenophora_teres_0-1.gff3	10442	results/reference_annotations/.cache/GCF_000166005.1_PyrTer_1.0_genomic.gff	11799	92.2	99.1	78.8	85.5	83.7	88.4	70.5	74.2	67.7	76.5	67.7	76.5	11.9	2.8	10.8	5.8	13.6	1.6	10442	11799	10284	10277	11	158	1598	compared
v1.8.17_conda	Pyrenophora_tritici-repentis_Pt-1C-BFP	GCF_000149985.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Pyrenophora_tritici-repentis_Pt-1C-BFP/predict_results/Pyrenophora_tritici-repentis_Pt-1C-BFP.gff3	11025	results/reference_annotations/.cache/GCF_000149985.1_ASM14998v1_genomic.gff	12275	85.7	94.3	56.5	64.2	66.4	76.3	49.7	54.4	51.6	57.5	51.6	57.5	17.7	6.8	22.5	9.5	13.9	2.9	11025	12275	10721	10682	191	304	1671	compared
v1.8.17_conda	Pyricularia_oryzae_70-15	GCF_000002495.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Pyricularia_oryzae_70-15/predict_results/Pyricularia_oryzae_70-15.gff3	10877	results/reference_annotations/.cache/GCF_000002495.2_MG8_genomic.gff	13053	67.4	97.8	34.5	44.7	64.4	86.1	50.3	65.7	48.2	59.1	49.2	59.1	25.0	3.1	28.3	5.2	19.2	2.0	10877	13053	10710	10574	901	167	2407	compared
v1.8.17_conda	Rhizopus_delemar_RA_99-880	GCF_000149305.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Rhizopus_delemar_RA_99-880/predict_results/Rhizopus_delemar_RA_99-880.gff3	14032	results/reference_annotations/.cache/GCF_000149305.1_RO3_genomic.gff	17702	77.6	81.4	57.0	53.5	67.6	57.0	24.7	28.0	26.6	33.5	26.6	33.5	18.8	24.2	17.1	27.6	24.8	8.5	14032	17702	12992	12839	261	1040	4195	compared
v1.8.17_conda	Rhizopus_microsporus_ATCC_52813	GCF_002708625.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Rhizopus_microsporus_ATCC_52813/predict_results/Rhizopus_microsporus_ATCC_52813.gff3	9985	results/reference_annotations/.cache/GCF_002708625.1_Rhimi1_1_genomic.gff	10958	84.9	90.6	68.6	65.7	84.8	77.8	46.4	46.7	43.1	47.3	44.4	47.3	8.3	9.6	7.9	15.6	10.3	5.9	9985	10958	9437	9397	501	548	1045	compared
v1.8.17_conda	Rhodotorula_graminis_WP1	GCF_001329695.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Rhodotorula_graminis_WP1/predict_results/Rhodotorula_graminis_WP1.gff3	7503	results/reference_annotations/.cache/GCF_001329695.1_Rhoba1_1_genomic.gff	7373	92.0	86.8	80.5	74.4	89.9	82.0	50.0	48.3	50.3	49.5	50.6	49.5	3.2	9.3	3.9	12.0	1.7	3.6	7503	7373	7258	7233	209	245	108	compared
v1.8.17_conda	Rhodotorula_toruloides_NP11	GCF_000320785.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Rhodotorula_toruloides_NP11/predict_results/Rhodotorula_toruloides_NP11.gff3	7792	results/reference_annotations/.cache/GCF_000320785.1_RHOziaDV1.0_genomic.gff	8141	90.3	99.0	84.8	87.1	88.4	90.5	55.6	58.2	54.8	57.5	54.8	57.5	6.0	1.7	5.2	3.7	5.5	2.0	7792	8141	7625	7615	25	167	425	compared
v1.8.17_conda	Saccharomyces_cerevisiae_S288C	GCF_000146045.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Saccharomyces_cerevisiae_S288C/predict_results/Saccharomyces_cerevisiae_S288C.gff3	5610	results/reference_annotations/.cache/GCF_000146045.2_R64_genomic.gff	6459	92.5	99.7	77.9	87.9	46.5	37.4	44.9	37.6	80.5	92.9	81.8	92.9	12.9	1.7	43.1	52.9	10.7	0.2	5610	6459	5592	5588	65	18	689	compared
v1.8.17_conda	Schizophyllum_commune_H4-8	GCF_000143185.2	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Schizophyllum_commune_H4-8/predict_results/Schizophyllum_commune_H4-8.gff3	12731	results/reference_annotations/.cache/GCF_000143185.2_Schco3_genomic.gff	16466	71.5	94.6	59.3	69.2	74.8	85.3	36.5	43.1	33.4	43.2	34.8	43.2	18.7	4.1	17.7	6.6	21.0	1.6	12731	16466	12607	12534	904	124	3343	compared
v1.8.17_conda	Sclerotinia_sclerotiorum_1980	GCF_000146945.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Sclerotinia_sclerotiorum_1980/predict_results/Sclerotinia_sclerotiorum_1980.gff3	10357	results/reference_annotations/.cache/GCF_000146945.2_ASM14694v2_genomic.gff	14710	86.7	92.1	50.5	67.7	53.9	70.0	34.3	44.8	35.0	49.7	35.0	49.7	30.4	8.7	32.1	9.1	30.7	2.0	10357	14710	10239	10152	206	118	4326	compared
v1.8.17_conda	Spizellomyces_punctatus_DAOM_BR117	GCF_000182565.1	Chytridiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Spizellomyces_punctatus_DAOM_BR117/predict_results/Spizellomyces_punctatus_DAOM_BR117.gff3	8326	results/reference_annotations/.cache/GCF_000182565.1_S_punctatus_V1_genomic.gff	9164	76.0	97.9	62.2	71.1	78.6	90.0	39.8	45.7	40.4	46.7	42.5	46.7	13.5	2.0	14.0	3.5	9.7	1.8	8326	9164	8217	8176	1317	109	689	compared
v1.8.17_conda	Sporobolomyces_koalae_JCM15063	GCF_050403365.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Sporobolomyces_koalae_JCM15063/predict_results/Sporobolomyces_koalae_JCM15063.gff3	6499	results/reference_annotations/.cache/GCF_050403365.1_S_koalae_JCM15063v1_genomic.gff	6590	92.6	98.5	82.8	85.5	85.3	88.4	50.3	51.3	49.7	50.4	49.7	50.4	6.5	2.6	5.3	3.4	4.0	3.8	6499	6590	6254	6251	17	245	257	compared
v1.8.17_conda	Sporobolomyces_salmoneus_JCM6883	GCF_050403485.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Sporobolomyces_salmoneus_JCM6883/predict_results/Sporobolomyces_salmoneus_JCM6883.gff3	7274	results/reference_annotations/.cache/GCF_050403485.1_S_salmoneus_JCM6883v1_genomic.gff	7657	89.6	98.8	84.4	87.2	87.7	90.4	55.1	57.1	53.2	56.0	53.2	56.0	7.1	2.8	5.5	3.4	7.8	3.6	7274	7657	7018	7012	12	256	594	compared
v1.8.17_conda	Sugiyamaella_lignohabitans_CBS_10342	GCF_001640025.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Sugiyamaella_lignohabitans_CBS_10342/predict_results/Sugiyamaella_lignohabitans_CBS_10342.gff3	5888	results/reference_annotations/.cache/GCF_001640025.1_ASM164002v2_genomic.gff	5341	94.9	84.1	54.1	31.8	26.3	1.5	22.5	1.7	56.1	50.8	56.1	50.8	5.5	40.7	25.4	95.1	4.2	17.7	5888	5341	4871	4847	115	1017	113	compared
v1.8.17_conda	Synchytrium_microbalum_JEL517	GCF_006535985.1	Chytridiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Synchytrium_microbalum_JEL517/predict_results/Synchytrium_microbalum_JEL517.gff3	8917	results/reference_annotations/.cache/GCF_006535985.1_ASM653598v1_genomic.gff	6304	93.4	73.8	84.5	67.9	86.0	70.6	49.5	35.7	49.6	35.1	49.6	35.1	7.4	25.4	5.1	23.9	4.5	32.7	8917	6304	6016	6000	26	2901	274	compared
v1.8.17_conda	Talaromyces_marneffei_ATCC_18224	GCF_000001985.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Talaromyces_marneffei_ATCC_18224/predict_results/Talaromyces_marneffei_ATCC_18224.gff3	9775	results/reference_annotations/.cache/GCF_000001985.1_JCVI-PMFA1-2.0_genomic.gff	10134	81.6	98.7	60.6	66.6	80.3	88.8	62.0	70.4	62.6	68.8	66.4	68.8	9.9	2.7	13.3	4.6	5.8	1.3	9775	10134	9665	9644	610	110	556	compared
v1.8.17_conda	Talaromyces_stipitatus_ATCC_10500	GCF_000003125.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Talaromyces_stipitatus_ATCC_10500/predict_results/Talaromyces_stipitatus_ATCC_10500.gff3	11379	results/reference_annotations/.cache/GCF_000003125.1_JCVI-TSTA1-3.0_genomic.gff	12559	77.6	97.5	51.0	63.1	67.2	85.6	46.0	65.7	46.8	54.9	49.7	54.9	19.3	4.5	25.8	5.8	13.6	3.0	11379	12559	11082	11043	802	297	1676	compared
v1.8.17_conda	Tilletiaria_anomala_UBC_951	GCF_000711695.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Tilletiaria_anomala_UBC_951/predict_results/Tilletiaria_anomala_UBC_951.gff3	5857	results/reference_annotations/.cache/GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0_genomic.gff	6868	79.4	93.0	50.1	56.0	77.3	84.8	56.4	59.6	49.7	58.3	50.8	58.3	14.0	3.9	15.2	8.2	14.5	1.6	5857	6868	5791	5763	634	66	938	compared
v1.8.17_conda	Tilletiopsis_washingtonensis_MCA_4186	GCF_003144115.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Tilletiopsis_washingtonensis_MCA_4186/predict_results/Tilletiopsis_washingtonensis_MCA_4186.gff3	6319	results/reference_annotations/.cache/GCF_003144115.1_Tilwa1_genomic.gff	7053	79.3	93.2	68.6	65.9	87.9	81.2	51.5	50.5	45.4	50.7	46.7	50.7	6.6	5.0	5.0	12.6	10.8	2.4	6319	7053	6216	6165	799	103	632	compared
v1.8.17_conda	Tremella_mesenterica_Fries	GCF_000271645.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Tremella_mesenterica_Fries/predict_results/Tremella_mesenterica_Fries.gff3	7737	results/reference_annotations/.cache/GCF_000271645.1_Treme1_genomic.gff	8291	85.3	85.6	67.3	69.4	76.4	78.2	32.4	34.4	32.7	35.0	32.7	35.0	12.2	11.3	13.4	11.3	13.3	7.0	7737	8291	7274	7200	170	463	1042	compared
v1.8.17_conda	Tricharina_praecox_CBS_144465	GCF_024521635.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Tricharina_praecox_CBS_144465/predict_results/Tricharina_praecox_CBS_144465.gff3	9678	results/reference_annotations/.cache/GCF_024521635.1_Tripra1_genomic.gff	10716	74.5	92.1	46.2	50.9	71.1	78.3	48.8	49.5	44.0	48.7	45.1	48.7	16.7	7.3	18.2	11.6	14.2	6.6	9678	10716	9135	9040	259	543	1467	compared
