accession,species,strain,taxid,bioproject,genus,phylum,subphylum,class,order,genome_size_mb,assembly_level,refseq_annotation_release,busco_lineage_used,rnaseq_available,rnaseq_sra_ids,ncbi_current_accession,paired_accession,asm_name,n50,selected_date,status
GCF_000002495.2,Pyricularia oryzae,70-15,242507,PRJNA13840,Pyricularia,Ascomycota,Pezizomycotina,Sordariomycetes,Magnaporthales,41.0,Chromosome,legacy,sordariomycetes_odb10,yes,"DRR477884,SRR13823748,ERR2593137,ERR2593140,DRR477885",GCF_000002495.2,GCA_000002495.2,MG8,6606598,2026-08-30,selected
GCF_000143105.1,Leptographium clavigerum,kw1407,655863,PRJNA169907;PRJNA39837,Leptographium,Ascomycota,Pezizomycotina,Sordariomycetes,Ophiostomatales,29.8,Scaffold,legacy,sordariomycetes_odb10,no,,GCF_000143105.1,GCA_000143105.2,Sanger-454-IlluminaPA_2.0,1996734,2026-08-30,selected
GCF_000001985.1,Talaromyces marneffei,ATCC 18224,441960,PRJNA19555,Talaromyces,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,28.6,Scaffold,legacy,eurotiomycetes_odb10,yes,"SRR24464667,SRR24464664,SRR24464662,SRR24464658,SRR24464665",GCF_000001985.1,GCA_000001985.1,JCVI-PMFA1-2.0,3339384,2026-08-30,selected
GCF_000225545.1,Orbilia oligospora,ATCC 24927,756982,PRJNA41495,Orbilia,Ascomycota,Pezizomycotina,Orbiliomycetes,Orbiliales,40.1,Scaffold,legacy,ascomycota_odb10,yes,"SRR21001893,SRR21001892,SRR21001905,SRR21001901,SRR21001914",GCF_000225545.1,GCA_000225545.1,AOL24927_1.0,2037373,2026-08-30,selected
GCF_000146915.1,Parastagonospora nodorum,SN15,321614,PRJNA13754,Parastagonospora,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,37.2,Scaffold,legacy,dothideomycetes_odb10,yes,"SRR26937223,SRR26937224,SRR26937222,SRR26937221,SRR26937226",GCF_000146915.1,GCA_000146915.2,ASM14691v2,1045363,2026-08-30,selected
GCF_000149985.1,Pyrenophora tritici-repentis,Pt-1C-BFP,426418,PRJNA18815,Pyrenophora,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,37.8,Scaffold,legacy,dothideomycetes_odb10,yes,"ERR2822759,ERR2822758",GCF_000149985.1,GCA_000149985.1,ASM14998v1,1986450,2026-08-30,selected
GCF_000002515.2,Kluyveromyces lactis,NRRL Y-1140,28985,PRJNA13835,Kluyveromyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,10.7,Complete Genome,legacy,saccharomycetes_odb10,yes,"SRR34545108,SRR34545098,SRR34545110,SRR34545103,SRR34545102",GCF_000002515.2,GCA_000002515.1,ASM251v1,1753957,2026-08-30,selected
GCF_003444635.1,Morchella importuna,M04M26,1174673,PRJNA478366,Morchella,Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,50.9,Scaffold,legacy,ascomycota_odb10,yes,"SRR21657357,SRR8168167,SRR29366267,SRR29366273,SRR29366275",GCF_003444635.1,GCA_003444635.2,ASM344463v2,978718,2026-08-30,selected
GCF_000002525.2,Yarrowia lipolytica,CLIB122,284591,PRJNA13837,Yarrowia,Ascomycota,Saccharomycotina,Dipodascomycetes,Dipodascales,20.5,Chromosome,legacy,saccharomycetes_odb10,yes,"SRR10101929,SRR9021312,SRR8131643,SRR10101927,SRR10101921",GCF_000002525.2,GCA_000002525.1,ASM252v1,3633272,2026-08-30,selected
GCF_000002545.3,Nakaseomyces glabratus,CBS 138,5478,PRJNA13831,Nakaseomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,12.3,Chromosome,legacy,saccharomycetes_odb10,no,,GCF_000002545.3,GCA_000002545.2,ASM254v2,1100349,2026-08-30,selected
GCF_000711695.1,Tilletiaria anomala,UBC 951,1037660,PRJNA196019,Tilletiaria,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Georgefischeriales,18.7,Contig,legacy,basidiomycota_odb10,yes,SRR1801379,GCF_000711695.1,GCA_000711695.1,Tilletiaria_anomala_UBC_951_v1.0,127254,2026-08-30,selected
GCF_003144115.1,Tilletiopsis washingtonensis,MCA 4186,58919,PRJNA247833,Tilletiopsis,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Entylomatales,18.8,Scaffold,legacy,basidiomycota_odb10,yes,SRR4125823,GCF_003144115.1,GCA_003144115.1,Tilwa1,728438,2026-08-30,selected
GCF_000166005.1,Pyrenophora teres,0-1,861557,PRJNA50389,Pyrenophora,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,33.6,Scaffold,legacy,dothideomycetes_odb10,yes,"ERR1743399,ERR3500505,ERR3500506,ERR3500533,ERR3500503",GCF_000166005.1,GCA_000166005.1,PyrTer_1.0,35625,2026-08-30,selected
GCF_039999085.1,Cystobasidium minutum,MCA 4210,1397322,PRJNA218034,Cystobasidium,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Cystobasidiales,20.8,Scaffold,legacy,basidiomycota_odb10,no,,GCF_039999085.1,GCA_039999085.1,Rhomi1,3450099,2026-08-30,selected
GCF_000143185.2,Schizophyllum commune,H4-8,578458,PRJNA32757,Schizophyllum,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,38.7,Scaffold,legacy,agaricomycetes_odb10,yes,"SRR28726911,SRR28726918,SRR28726920,SRR8448303,SRR28726913",GCF_000143185.2,GCA_000143185.2,Schco3,2560162,2026-08-30,selected
GCF_000002655.1,Aspergillus fumigatus,Af293,330879,PRJNA131,Aspergillus,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,29.4,Chromosome,legacy,eurotiomycetes_odb10,yes,"SRR32807562,DRR640324,SRR9609643,SRR9609648,SRR32807548",GCF_000002655.1,GCA_000002655.1,ASM265v1,3948441,2026-08-30,selected
GCF_000143535.2,Botrytis cinerea,B05.10,332648,PRJNA15632,Botrytis,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,42.6,Complete Genome,legacy,leotiomycetes_odb10,yes,"SRR36445524,SRR11783507,SRR11783498,SRR32993890,SRR11783500",GCF_000143535.2,GCA_000143535.4,ASM14353v4,2617329,2026-08-30,selected
GCF_000002715.2,Aspergillus clavatus,NRRL 1,344612,PRJNA15664,Aspergillus,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,27.9,Scaffold,legacy,eurotiomycetes_odb10,no,,GCF_000002715.2,GCA_000002715.1,ASM271v1,2493640,2026-08-30,selected
GCF_000026365.1,Zygosaccharomyces rouxii,CBS 732,4956,PRJNA12502,Zygosaccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,9.8,Chromosome,legacy,saccharomycetes_odb10,yes,"SRR17438069,DRR297970,SRR6821101,DRR297969,SRR24693007",GCF_000026365.1,GCA_000026365.1,ASM2636v1,1496342,2026-08-30,selected
GCF_000271645.1,Tremella mesenterica,Fries,578456,PRJNA32829,Tremella,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellales,28.6,Scaffold,legacy,tremellomycetes_odb10,no,,GCF_000271645.1,GCA_000271645.1,Treme1,1622698,2026-08-30,selected
GCF_020137385.1,Morchella sextelata,SCLS,1174677,PRJNA655985,Morchella,Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,53.6,Contig,legacy,ascomycota_odb10,yes,"SRR14322366,SRR15196306,SRR15196301,SRR15196298,SRR15196297",GCF_020137385.1,GCA_020137385.1,ASM2013738v1,1823296,2026-08-30,selected
GCF_000349305.1,Malassezia sympodialis,ATCC 42132,1230383,PRJEB417,Malassezia,Basidiomycota,Ustilaginomycotina,Malasseziomycetes,Malasseziales,7.7,Scaffold,legacy,basidiomycota_odb10,yes,"SRR10590520,SRR10590521,SRR10590517,SRR10590516,SRR10590522",GCF_000349305.1,GCA_000349305.2,ASM34930v2,513493,2026-08-30,selected
GCF_000708205.1,Mixia osmundae,IAM 14324,764103,PRJNA205560,Mixia,Basidiomycota,Pucciniomycotina,Mixiomycetes,Mixiales,13.6,Scaffold,legacy,basidiomycota_odb10,no,,GCF_000708205.1,GCA_000708205.1,Mixia_osmundae_v1.0,1194905,2026-08-30,selected
GCF_000143365.1,Chaetomium globosum,CBS 148.51,306901,PRJNA12795;PRJNA176382,Chaetomium,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,34.3,Scaffold,legacy,sordariomycetes_odb10,yes,"SRR34540494,SRR34540497,SRR34540493,SRR34540495,SRR34540496",GCF_000143365.1,GCA_000143365.1,ASM14336v1,4721439,2026-08-30,selected
GCF_029532465.1,Lipomyces tetrasporus,NRRL Y-64009,54092,PRJNA928472,Lipomyces,Ascomycota,Saccharomycotina,Lipomycetes,Lipomycetales,20.8,Contig,legacy,saccharomycetes_odb10,yes,"SRR37712005,SRR23939721",GCF_029532465.1,GCA_029532465.1,Liptet1,1740353,2026-08-30,selected
GCF_000145635.1,Gaeumannomyces tritici,R3-111a-1,644352,PRJNA37931,Gaeumannomyces,Ascomycota,Pezizomycotina,Sordariomycetes,Magnaporthales,43.6,Scaffold,legacy,sordariomycetes_odb10,yes,"SRR37568680,SRR37568679,SRR37568681,SRR37568682,SRR37568683",GCF_000145635.1,GCA_000145635.1,Gae_graminis_V2,6703616,2026-08-30,selected
GCF_025094135.1,Mucor mucedo,NRRL 3635,29922,PRJNA519267,Mucor,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,46.1,Contig,legacy,mucorales_odb10,yes,SRR8534859,GCF_025094135.1,GCA_025094135.1,Mucmuc1,202377,2026-08-30,selected
GCF_000146945.2,Sclerotinia sclerotiorum,1980,665079,PRJNA15530,Sclerotinia,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,38.3,Scaffold,legacy,leotiomycetes_odb10,yes,"ERR17369944,ERR17369945,ERR17369943,SRR12867748,SRR12867747",GCF_000146945.2,GCA_000146945.2,ASM14694v2,1625527,2026-08-30,selected
GCF_050403365.1,Sporobolomyces koalae,JCM15063,500713,PRJDB17412,Sporobolomyces,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Sporidiobolales,18.3,Contig,legacy,basidiomycota_odb10,no,,GCF_050403365.1,GCA_050403365.1,S_koalae_JCM15063v1,371635,2026-08-30,selected
GCF_000349005.2,Pneumocystis murina,B123,1069680,PRJNA223519;PRJNA70803,Pneumocystis,Ascomycota,Taphrinomycotina,Pneumocystomycetes,Pneumocystales,7.5,Contig,legacy,ascomycota_odb10,no,,GCF_000349005.2,GCA_000349005.2,Pneumo_murina_B123_V4,492849,2026-08-30,selected
GCF_000003125.1,Talaromyces stipitatus,ATCC 10500,441959,PRJNA19557,Talaromyces,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,35.7,Scaffold,legacy,eurotiomycetes_odb10,no,,GCF_000003125.1,GCA_000003125.1,JCVI-TSTA1-3.0,4363329,2026-08-30,selected
GCF_050403485.1,Sporobolomyces salmoneus,JCM6883,183962,PRJDB17412,Sporobolomyces,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Sporidiobolales,20.3,Contig,legacy,basidiomycota_odb10,no,,GCF_050403485.1,GCA_050403485.1,S_salmoneus_JCM6883v1,285613,2026-08-30,selected
GCF_024521635.1,Tricharina praecox,CBS 144465,43433,PRJNA368300,Tricharina,Ascomycota,Pezizomycotina,Pezizomycetes,Pezizales,38.4,Contig,legacy,ascomycota_odb10,yes,"SRR7142644,SRR33150808",GCF_024521635.1,GCA_024521635.1,Tripra1,1007964,2026-08-30,selected
GCF_002105105.1,Protomyces lactucae-debilis,12-1054,2754530,PRJNA330697,Protomyces,Ascomycota,Taphrinomycotina,Taphrinomycetes,Taphrinales,12.9,Contig,legacy,ascomycota_odb10,yes,SRR5576147,GCF_002105105.1,GCA_002105105.1,Prola1,565986,2026-08-30,selected
GCF_000091025.4,Eremothecium gossypii,ATCC 10895,284811,PRJNA13834,Eremothecium,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,9.1,Complete Genome,legacy,saccharomycetes_odb10,no,,GCF_000091025.4,GCA_000091025.4,ASM9102v4,1519140,2026-08-30,selected
GCF_000184105.1,Pseudogymnoascus destructans,20631-21,658429,PRJNA167910;PRJNA39257,Pseudogymnoascus,Ascomycota,Pezizomycotina,Leotiomycetes,Thelebolales,30.7,Scaffold,legacy,leotiomycetes_odb10,yes,"SRR1270711,SRR1270412,SRR33390455,SRR33390457,SRR33390458",GCF_000184105.1,GCA_000184105.1,Geom_destructans_V1,105158,2026-08-30,selected
GCF_000149035.1,Colletotrichum graminicola,M1.001,645133,PRJNA37879,Colletotrichum,Ascomycota,Pezizomycotina,Sordariomycetes,Glomerellales,51.6,Scaffold,legacy,sordariomycetes_odb10,yes,"SRR21464500,SRR21464499,SRR21464507,SRR21464498,SRR21464504",GCF_000149035.1,GCA_000149035.1,C_graminicola_M1_001_V1,579194,2026-08-30,selected
GCF_000203795.2,Batrachochytrium dendrobatidis,JAM81,684364,PRJNA41157,Batrachochytrium,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Rhizophydiales,23.8,Scaffold,legacy,fungi_odb10,yes,"SRR28594495,SRR27683886,SRR27683887,SRR26631705,SRR27683879",GCF_000203795.2,GCA_000203795.2,v1.1,1484462,2026-08-30,selected
GCF_000441935.1,Dactylellina haptotyla,CBS 200.50,1284197,PRJNA186729,Dactylellina,Ascomycota,Pezizomycotina,Orbiliomycetes,Orbiliales,39.5,Scaffold,legacy,ascomycota_odb10,no,,GCF_000441935.1,GCA_000441935.1,MHA_v2,190205,2026-08-30,selected
GCF_025118155.1,Cokeromyces recurvatus,NRRL 2243,90255,PRJNA364356,Cokeromyces,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,28.1,Contig,legacy,mucorales_odb10,yes,SRR6056974,GCF_025118155.1,GCA_025118155.1,Cokrec1,810766,2026-08-30,selected
GCF_000293215.1,Trichosporon asahii,CBS 2479,1186058,PRJNA164647,Trichosporon,Basidiomycota,Agaricomycotina,Tremellomycetes,Trichosporonales,24.5,Scaffold,legacy,tremellomycetes_odb10,yes,"DRR159221,DRR159222,SRR25893259,DRR159224,SRR25893256",GCF_000293215.1,GCA_000293215.1,Trichosporon_asahii_1,1660894,2026-08-30,selected
GCF_000142805.1,Lachancea thermotolerans,CBS 6340,559295,PRJNA12499,Lachancea,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,10.4,Chromosome,legacy,saccharomycetes_odb10,yes,"SRR34482465,SRR34482463,SRR34482466,SRR21821642,SRR34482464",GCF_000142805.1,GCA_000142805.1,ASM14280v1,1513537,2026-08-30,selected
GCF_000003515.1,Uncinocarpus reesii,1704,336963,PRJNA15634;PRJNA46297,Uncinocarpus,Ascomycota,Pezizomycotina,Eurotiomycetes,Onygenales,22.3,Scaffold,legacy,eurotiomycetes_odb10,no,,GCF_000003515.1,GCA_000003515.2,ASM351v2,5232914,2026-08-30,selected
GCF_025399195.1,Umbelopsis ramanniana,AG,1314678,PRJNA196032,Umbelopsis,Mucoromycota,Mucoromycotina,Umbelopsidomycetes,Umbelopsidales,23.1,Scaffold,legacy,mucorales_odb10,yes,SRR5487448,GCF_025399195.1,GCA_025399195.1,Umbra1,294116,2026-08-30,selected
GCF_000298775.1,Drepanopeziza brunnea,MB_m1,1072389,PRJNA66127,Drepanopeziza,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,51.9,Scaffold,legacy,leotiomycetes_odb10,yes,"SRR1295578,SRR1295576",GCF_000298775.1,GCA_000298775.1,ASM29877v1,1599552,2026-08-30,selected
GCF_006535985.1,Synchytrium microbalum,JEL517,1806994,PRJNA453749,Synchytrium,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Synchytriales,26.2,Scaffold,legacy,fungi_odb10,no,,GCF_006535985.1,GCA_006535985.1,ASM653598v1,518601,2026-08-30,selected
GCF_001640025.1,Sugiyamaella lignohabitans,CBS 10342,796027,PRJNA308900,Sugiyamaella,Ascomycota,Saccharomycotina,Dipodascomycetes,Dipodascales,15.9,Complete Genome,legacy,saccharomycetes_odb10,no,,GCF_001640025.1,GCA_001640025.2,ASM164002v2,4956242,2026-08-30,selected
GCF_000149555.1,Fusarium verticillioides,7600,334819,PRJNA15553;PRJNA176382,Fusarium,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,41.8,Chromosome,legacy,sordariomycetes_odb10,yes,"SRR3479292,SRR1810221,SRR1810220,SRR13003607,SRR13003597",GCF_000149555.1,GCA_000149555.1,ASM14955v1,1959799,2026-08-30,selected
GCF_000146045.2,Saccharomyces cerevisiae,S288C,559292,PRJNA43747,Saccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,12.1,Complete Genome,legacy,saccharomycetes_odb10,no,,GCF_000146045.2,GCA_000146045.2,R64,924431,2026-08-30,selected
GCF_000219625.1,Zymoseptoria tritici,IPO323,336722,PRJNA19047,Zymoseptoria,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellales,39.7,Chromosome,legacy,dothideomycetes_odb10,yes,"SRR2124860,SRR7450687,SRR22428698,SRR22428703,SRR6941162",GCF_000219625.1,GCA_000219625.1,MYCGR_v2.0,2674951,2026-08-30,selected
GCF_014066305.1,Letharia columbiana,WasteWater2,112416,PRJNA633150,Letharia,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanorales,52.3,Contig,legacy,ascomycota_odb10,no,,GCF_014066305.1,GCA_014066305.1,Lecol_v1.0,666803,2026-08-30,selected
GCF_000263375.1,Wallemia mellicola,CBS 633.66,671144,PRJNA64975,Wallemia,Basidiomycota,Agaricomycotina,Wallemiomycetes,Wallemiales,9.8,Scaffold,legacy,basidiomycota_odb10,no,,GCF_000263375.1,GCA_000263375.1,Wallemia_sebi_v1.0,337420,2026-08-30,selected
GCF_000149955.1,Fusarium oxysporum,4287,426428,PRJNA18813,Fusarium,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,61.4,Chromosome,legacy,sordariomycetes_odb10,yes,"SRR35256582,SRR35256587,SRR35256585,SRR35256586,SRR19346778",GCF_000149955.1,GCA_000149955.2,ASM14995v2,1976106,2026-08-30,selected
GCF_000143565.1,Laccaria bicolor,S238N-H82,486041,PRJNA19043,Laccaria,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,64.9,Scaffold,legacy,agaricomycetes_odb10,no,,GCF_000143565.1,GCA_000143565.1,V1.0,784691,2026-08-30,selected
GCF_000003525.1,Blastomyces dermatitidis,ER-3,559297,PRJNA176382;PRJNA289976;PRJNA29171,Blastomyces,Ascomycota,Pezizomycotina,Eurotiomycetes,Onygenales,66.6,Scaffold,legacy,eurotiomycetes_odb10,no,,GCF_000003525.1,GCA_000003525.2,BD_ER3_V1,5552162,2026-08-30,selected
